YYYYMMDDHHMM,Unnamed: 0,TYPE,TYPE.1,BBSSS,TUDE,TUDE.1,(M),(HP=MB),(HP=MB).1,(HP=MB).2,(C),(C).1,(%),DIR,SPD(M/S),VIS(M),(KG/M2),(KG/M2).1,|,PRES,PMSL,TMDB,ALSE,TMDP,REHU,WDIR,WSPD,TP03,TP24,HOVI,wind_math_direction,wind_x,wind_y
2014-12-31 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.0,-9999.9,18.9,10.9,-9999.9,320.0,5.7,12000.0,-9999.9,-9999.9,|,-9999.9,101800.0,292.05,-9999.9,284.05,-9999.9,320.0,5.7,-9999.9,-9999.9,12000.0,310.0,-2.9944815395387647,4.8500598253384
2015-01-01 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1017.7,-9999.9,18.8,12.2,-9999.9,310.0,5.7,12000.0,-9999.9,-9999.9,|,-9999.9,101770.0,291.95,-9999.9,285.35,-9999.9,310.0,5.7,-9999.9,-9999.9,12000.0,320.0,5.1511191382325,-2.440485940081374
2015-01-01 03:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.5,-9999.9,17.3,14.4,-9999.9,290.0,4.6,8000.0,-9999.9,-9999.9,|,-9999.9,101850.0,290.45,-9999.9,287.55,-9999.9,290.0,4.6,-9999.9,-9999.9,8000.0,340.0,3.4944742260332338,2.991429404747741
2015-01-01 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1021.2,-9999.9,19.2,15.1,-9999.9,300.0,4.6,5000.0,-9999.9,-9999.9,|,-9999.9,102120.0,292.35,-9999.9,288.25,-9999.9,300.0,4.6,-9999.9,-9999.9,5000.0,330.0,-4.559514580073951,-0.6089554943450789
2015-01-01 09:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.5,-9999.9,21.6,16.2,-9999.9,300.0,5.7,9000.0,-9999.9,-9999.9,|,-9999.9,101950.0,294.75,-9999.9,289.35,-9999.9,300.0,5.7,-9999.9,-9999.9,9000.0,330.0,-5.6498332840046785,-0.7545752864710761
2015-01-01 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1018.1,-9999.9,23.0,15.9,-9999.9,290.0,6.2,10000.0,-9999.9,-9999.9,|,-9999.9,101810.0,296.15,-9999.9,289.05,-9999.9,290.0,6.2,-9999.9,-9999.9,10000.0,340.0,4.709943522044794,4.031926589007826
2015-01-01 15:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.1,-9999.9,20.8,17.1,-9999.9,350.0,2.1,10000.0,-9999.9,-9999.9,|,-9999.9,101910.0,293.95,-9999.9,290.25,-9999.9,350.0,2.1,-9999.9,-9999.9,10000.0,280.0,-1.9356531177465632,-0.8143997837413819
2015-01-01 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.6,-9999.9,20.2,16.9,-9999.9,330.0,3.6,10000.0,-9999.9,-9999.9,|,-9999.9,102060.0,293.35,-9999.9,290.05,-9999.9,330.0,3.6,-9999.9,-9999.9,10000.0,300.0,-0.07954782940326219,-3.599121023644138
2015-01-01 21:00:00,1.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1020.3,-9999.9,19.1,16.6,-9999.9,310.0,3.6,8000.0,-9999.9,-9999.9,|,-9999.9,102030.0,292.25,-9999.9,289.75,-9999.9,310.0,3.6,-9999.9,-9999.9,8000.0,320.0,3.2533384030942103,-1.5413595411040257
2015-01-02 00:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1019.4,-9999.9,18.7,16.2,-9999.9,320.0,2.6,7000.0,-9999.9,-9999.9,|,-9999.9,101940.0,291.85,-9999.9,289.35,-9999.9,320.0,2.6,-9999.9,-9999.9,7000.0,310.0,-1.3659038601404891,2.212307990505235
